epoch;categorical_accuracy;f1-score;iou_score;loss;lr;val_categorical_accuracy;val_f1-score;val_iou_score;val_loss
18;0.08531570434570312;0.8730113506317139;0.7765610814094543;0.12950748205184937;0.001;0.033792559057474136;0.7950311899185181;0.6648344397544861;0.20972150564193726
19;0.05306229367852211;0.8972670435905457;0.81550532579422;0.10504718869924545;0.00020000001;0.037062615156173706;0.8547859191894531;0.74883633852005;0.14850103855133057
20;0.05840971693396568;0.9055237174034119;0.8286150693893433;0.09678665548563004;0.00020000001;0.0664525181055069;0.8905074596405029;0.804380476474762;0.11167329549789429
21;0.0637427568435669;0.9140458703041077;0.8430401682853699;0.08821825683116913;0.00020000001;0.0631108433008194;0.893883466720581;0.8096559643745422;0.108158640563488
22;0.07103176414966583;0.9163018465042114;0.8468775749206543;0.08593001961708069;0.00020000001;0.08614128082990646;0.8961360454559326;0.8133545517921448;0.10595815628767014
23;0.05543713644146919;0.9183416962623596;0.8502691984176636;0.08382492512464523;0.00020000001;0.051435407251119614;0.8970447778701782;0.8148793578147888;0.10513047128915787
24;0.053928520530462265;0.9206236600875854;0.8541309833526611;0.08143490552902222;0.00020000001;0.05007171630859375;0.8989561796188354;0.8179007768630981;0.10306606441736221
25;0.05543077737092972;0.9260484576225281;0.863194465637207;0.0759815201163292;0.00020000001;0.0673513114452362;0.9008381366729736;0.8210506439208984;0.1015283539891243
26;0.05477186292409897;0.9270350337028503;0.8650760054588318;0.07514706999063492;0.00020000001;0.07133951783180237;0.9009566307067871;0.8213112354278564;0.10121966153383255
27;0.06645549833774567;0.9271453619003296;0.8653807044029236;0.07494955509901047;0.00020000001;0.04899350926280022;0.9033234715461731;0.8252131938934326;0.09885328263044357
28;0.062140047550201416;0.9319522380828857;0.8736529350280762;0.07017407566308975;0.00020000001;0.06454271078109741;0.9041983485221863;0.8265822529792786;0.09789874404668808
29;0.06743377447128296;0.931323230266571;0.8726603388786316;0.07070017606019974;0.00020000001;0.06244659423828125;0.906457245349884;0.8303550481796265;0.09578413516283035
30;0.0607248954474926;0.9350479245185852;0.8790233135223389;0.0669553354382515;0.00020000001;0.05413301661610603;0.9045515656471252;0.8273297548294067;0.09746518731117249
31;0.06362880766391754;0.9303179979324341;0.8707873225212097;0.07161509990692139;0.00020000001;0.24515558779239655;0.9060871005058289;0.8297978639602661;0.09593433141708374
32;0.07429284602403641;0.9372836351394653;0.8828800916671753;0.0644850879907608;0.00020000001;0.08108692616224289;0.9079024195671082;0.8326882123947144;0.09429886192083359
33;0.07731188088655472;0.9360617399215698;0.88081955909729;0.06588663160800934;0.00020000001;0.10682874917984009;0.9104620814323425;0.8368138670921326;0.09151048213243484
34;0.07592103630304337;0.9390985369682312;0.8862574696540833;0.06290873140096664;0.00020000001;0.06380757689476013;0.9102738499641418;0.8366725444793701;0.09176482260227203
35;0.06764715164899826;0.939598560333252;0.8870341777801514;0.0623176172375679;0.00020000001;0.09630633890628815;0.9082067608833313;0.8334096670150757;0.09377138316631317
36;0.07738275080919266;0.941005527973175;0.8895094394683838;0.06082141771912575;0.00020000001;0.08516274392604828;0.9076637029647827;0.8321775197982788;0.09431827813386917
37;0.07416578382253647;0.9412240386009216;0.8899374604225159;0.06069328263401985;0.00020000001;0.05924741551280022;0.9125599265098572;0.840491771697998;0.08933638036251068
38;0.06069256737828255;0.9424265623092651;0.8921063542366028;0.05957616865634918;0.00020000001;0.05029739812016487;0.9104246497154236;0.836955189704895;0.09164322912693024
